,Numéro de mallot,Nom,Pays,Né le,Pos.,Club,Entraineur
0,30.0,L. Chevalier,FRA,6/11/01,Gar.,Lille,C. Galtier
1,1.0,O. Karnezis,GRE,11/07/85,Gar.,Lille,C. Galtier
2,16.0,M. Maignan,FRA,3/07/95,Gar.,Lille,C. Galtier
3,5.0,S. Botman,HOL,12/01/00,Déf.,Lille,C. Galtier
4,None,I. Bouleghcha,FRA,9/12/02,Déf.,Lille,C. Galtier
5,29.0,D. Bradaric,CRO,10/12/99,Déf.,Lille,C. Galtier
6,3.0,T. Djalo,POR,9/04/00,Déf.,Lille,C. Galtier
7,6.0,J. Fonte,POR,22/12/83,Déf.,Lille,C. Galtier
8,34.0,N. Innocenti,FRA,19/02/02,Déf.,Lille,C. Galtier
9,28.0,R. Mandava,MOZ,21/01/94,Déf.,Lille,C. Galtier
10,26.0,J. Pied,FRA,23/02/89,Déf.,Lille,C. Galtier
11,2.0,M. Çelik,TUR,17/02/97,Déf.,Lille,C. Galtier
12,21.0,B. André,FRA,3/08/90,Mil.,Lille,C. Galtier
13,35.0,R. Ascone,FRA,12/09/03,Mil.,Lille,C. Galtier
14,7.0,J. Bamba,FRA,26/03/96,Mil.,Lille,C. Galtier
15,None,A. Camara,GUI,20/05/01,Mil.,Lille,C. Galtier
16,None,M. Kapi,TUR,8/08/02,Mil.,Lille,C. Galtier
17,15.0,E. Pizzuto,MEX,13/05/02,Mil.,Lille,C. Galtier
18,18.0,R. Sanches,POR,18/08/97,Mil.,Lille,C. Galtier
19,24.0,B. Soumaré,FRA,27/02/99,Mil.,Lille,C. Galtier
20,8.0,Xeka,POR,10/11/94,Mil.,Lille,C. Galtier
21,12.0,Y. Yazici,TUR,29/01/97,Mil.,Lille,C. Galtier
22,None,A. Zekaj,SER,16/04/00,Mil.,Lille,C. Galtier
23,11.0,L. Araujo,BRE,2/06/96,Att.,Lille,C. Galtier
24,9.0,J. David,CAN,14/01/00,Att.,Lille,C. Galtier
